id,task,task_label,brief
213,213,Get the highest darts score,"Get the highest score in darts.
You can either throw one dart from one metre away, three darts from 2.37 metres away, or 60 darts from 10 metres away.
When throwing, please stand behind whichever distance line you choose.
You have a maximum of 10 minutes.
Your time starts now."
214,214,Keep Alex dry,"Keep Alex dry.
Driest Alex wins.
You may not touch Alex at any point.
You may not be in the compass when the shower is on.
The shower will be turned on for two minutes in two minutes from now."
215,215,Take a picture of people holding eggs,"Take a picture of a group of people, each holding an egg.
Most people holding eggs in a picture wins.
You must be in your picture.
You have one week to text your picture to the Taskmaster’s assistant.
Your time starts now."
216,216,Take the wind-up man on an adventure,"Make this wind-up little man go on the most extraordinary journey.
You have 30 minutes.
Your time starts now."
217,217,Conceal grapes in your mouth or hand,"When instructed, put your grape in either your hand or your mouth whilst staring at the Taskmaster.
You must then answer the Taskmaster’s question, and fool the Taskmaster into thinking your grape is not where your grape is.
You must not eat your grape.
Your answer must contain at least five words.
If the Taskmaster correctly guesses where your grape is, you are eliminated."
218,218,The most magnificent day trip,Bring in the most magnificent day trip.
219,219,Write a grown-up bedtime story,"Write, illustrate and read out a bedtime story for grown-ups.
Your bedtime story for grown-ups may be no more or fewer than 50 words.
Most engrossing bedtime story for grown-ups wins.
You have one hour.
Your time starts now."
220,220,Make something spin for the longest,"Make something spin for the longest.
Your thing must not be a person.
You have 10 minutes to prepare for your spin, and one attempt at spinning.
Your time starts now."
221,221,Identify the baby food flavours,"Work out the flavours of these baby foods.
Most accurate flavour guesses wins.
You have 10 minutes.
Your time starts now.
Also, there is a bonus point for whoever eats the most baby food."
222,222,Catch the most socks,"Catch the most socks and put them in your laundry basket.
You must stare straight forward throughout the task.
You must not touch any pants.
You must not move the laundry basket.
If you drop a sock, you cannot pick it up.
Every time you touch some pants, you lose a sock.
Most socks wins."
223,223,The most thought-provoking thing,Bring in the most thought-provoking thing.
224,224,Do something manly with a cardboard box,"Do something manly with this cardboard box.
Manliest thing wins.
You have 20 minutes.
Your time starts now."
225,225,Have the most fun in 3 minutes,"Have the most fun.
You have three minutes, at the end of which you must return to the caravan and await your second task.
Your time starts now."
226,226,Exactly recreate your 3 minutes of fun,"Exactly recreate your attempt at the first task.
Most accurate task re-enactment wins.
You have three minutes.
Your time starts when Alex shouts his own name."
227,227,Make the best squirty cream art,"Make the best art using the entire contents of this can of squirty cream.
You have 20 minutes.
Your time starts now."
228,228,Remove the banknote from under the glass,"Remove the five pound note from under the pint without spilling any of the pint.
You may not touch the pint glass.
If you spill any of the pint, you are disqualified.
Fastest wins.
Your time starts now."
229,229,Shake hands with the Taskmaster without revealing your identity,"When tapped on the shoulder, shake hands with the Taskmaster without revealing your identities.
You may not speak during the task.
Everyone must shake hands with the Taskmaster once, for at least two seconds.
If the Taskmaster guesses your identity, you are eliminated.
The task continues until we have a winner."
230,230,The sturdiest thing,Bring in the sturdiest thing.
231,231,Work out the length of a piece of string,"Without leaving the caravan, work out on long this piece of string is.
You have five minutes.
Most accurate answer wins.
Your time starts now."
232,232,Remove the tablecloth from underneath the eggs,"Pull this tablecloth off this table.
Most eggs left unbroken on the table wins.
You have one attempt and may not tamper with the table, tablecloth or eggs.
Your time starts now."
233,233,Identify the link and do it 100 times,"Find the link and then do it exactly 100 times.
Fastest wins.
Your time starts now."
234,234,Pull off an elaborate snooker trick shot,"Pull off the most elaborate trick shot.
You have 20 minutes.
Your time starts now."
235,235,Throw eggs onto a shelf,"Throw as many eggs onto the shelf as possible.
You must lie flat on your bed at all times.
Most eggs on the shelf wins.
You have 100 seconds."
236,236,The best invention,Bring in the best thing you have invented.
237,237,Make the best snow globe,"Make the best snow globe.
You have 10 minutes to order your elements, then 20 minutes to make your snow globe.
Your time starts now."
238,238,Knock over the ducks without leaving the carpet,"Knock over as many ducks as possible.
You must all remain on the red carpet throughout the task.
You have five minutes.
Your time starts now."
239,239,Make the best announcement,"Make an announcement.
Biggest announcement to the most people wins.
You have 12 weeks.
Your time starts now."
240,240,Make a parachute for a wooden spoon,"Make the best parachute for this wooden spoon.
You have 10 minutes to order your materials, and then 10 minutes to make your parachute.
Slowest and most dramatic fall wins.
Your time starts now."
241,241,Predict how many words you can list for a category,"You will each be given a category.
You each have 10 seconds to say things that fall into that category.
First, you must each predict how many correct answers you will give.
The person who has successfully predicted the highest number wins."
242,242,The scariest thing from the kitchen,Bring in the scariest thing from your kitchen.
243,243,Knock the bails off the stumps,"Knock the bails off the stumps.
You have a maximum of one over.
You must make your attempt from behind this stump.
No stumps may be moved.
Fastest wins.
Your time starts now."
244,244,Draw the contents of the box,"Draw a picture of the contents of this box.
You may not open the box or look inside.
Also, you get a bonus point if you can name the person represented by the contents of the box.
You have 10 minutes.
Your time starts now."
245,245,List and then mime obscure animals,"Write down as many obscure animals as possible.
You have three minutes.
Your time starts now.

Guess the animals your teammate has on their list.
Your teammate must only use mime.
They may not write anything down or show you the list.
You have 10 minutes.
Most animals guessed wins.
Your time starts now."
246,246,Make and eat a pancake with objects tucked into your sweatband,"Wearing this sweatband around your head at all times, tuck as many items in the kitchen inside the sweatband as possible.
Then make a pancake with a diameter of at least nine inches, and eat the whole pancake.
You have two minutes to tuck things in your sweatband, and then eight minutes to cook and eat your pancake.
Most kitchen items successfully kept inside the sweatband wins.
Your time starts now."
